year,country,health_expenses,education,gdp_per_capita,gini_index,greenhousepc,pop_density,precipitation,productivity_per_hour,remuneration_per_capita,unemployment,inflation,div_per_100_marriges_,0-14,15-24,25-49,50-64,65-79,80-more,Per capita CO₂ emissions (Global Carbon Project; Gapminder; UN) (tonnes per capita),20-24 years old (%),10-14 years old (%),All ages (%),70+ years old (%),30-34 years old (%),15-19 years old (%),25-29 years old (%),50-69 years old (%),Age-standardized (%),15-49 years old (%)
2001,Greece,0.0,18.9,18196.3,33.0,11.7,82.1,0,21.7,5608.1,10.5,3.6,19.1,1638640,1523126,3936941,1851243,1515528,396655,9.421,4.9397816974,2.38217408765,4.8851821736000005,5.66454402847,5.34749601747,4.27108540508,5.13626539014,5.71988846528,4.2697879995,5.286321710099999
2001,Hungary,0.0,22.4,11484.4,25.0,7.4,109.6,57102,13.9,5123.5,5.7,9.1,56.0,1676055,1458517,3644582,1859974,1261600,286848,5.902,2.8754826061100003,0.933583870187,3.60827872067,6.2607276458699985,3.15986373638,2.20126796017,2.96909615672,5.09998099443,2.93874228116,3.3144953021
2001,Ireland,0.0,25.5,28250.0,29.0,18.2,54.9,0,32.5,10789.7,3.7,4.0,14.7,827558,639724,1397555,569913,332871,98622,12.165999999999999,5.24406769069,2.01011875346,4.65783573783,5.26938412068,5.5972196620000005,4.039698274569999,5.40917330539,5.66792941934,4.33370617829,5.45768681674
2001,Italy,0.0,18.8,24245.5,29.0,9.9,189.0,190839,32.0,9013.8,9.6,2.3,15.2,8109044,6450718,21214082,10620548,8148423,2431286,8.217,3.94363093365,1.8981599886700002,4.07649944965,5.48371928477,4.24337807549,3.37865690973,4.09481342749,4.61357540996,3.4495779296,4.20494014455
2001,Latvia,0.0,24.1,7842.5,0.0,4.7,36.4,50652,9.8,3145.4,13.8,2.5,62.0,398316,341666,819275,421387,296643,59885,3.1710000000000003,3.52930165824,1.14981890537,4.61500221627,8.223991960960001,4.1661559319900014,2.6807164067900002,3.88051043193,6.76730446148,3.7912108865099996,4.099551669649999
2001,Lithuania,0.0,25.2,8204.0,31.0,5.8,53.4,50302,11.6,3101.0,16.8,1.5,69.9,671166,499287,1245023,562807,410516,82019,3.6010000000000004,4.438764185,1.23295490088,5.14297887495,9.03385440535,4.85919486509,3.2074466693500003,4.6198666287500005,7.720067584530001,4.4055874134,4.91121877731
2001,Luxembourg,0.0,19.0,48516.8,27.0,23.0,169.8,0,48.4,23813.4,1.8,2.4,51.8,83535,50700,174926,70935,48245,13186,20.831999999999997,4.442110565029999,1.71143640563,4.29925723701,5.242049196619999,4.98062356568,3.42090773232,4.74537966851,5.13140254082,3.83053040865,4.85315643857
2001,Malta,0.0,22.3,15987.9,0.0,6.9,1240.2,108,19.5,7248.8,7.1,2.5,-,76633,58856,137116,71445,39129,9851,6.513999999999999,3.94347179566,1.81835742135,3.75006170696,4.56518616097,4.28468519739,3.3523077795200003,4.1296312764400005,4.52797176139,3.3981766071900004,4.18506528238
2001,Netherlands,0.0,22.4,28812.4,27.0,13.7,385.0,35710,38.0,14294.4,2.1,5.1,46.6,2987893,1902975,6136361,2832344,1662486,524122,11.040999999999999,4.80738949416,1.64213579677,4.5893661606,5.25648440259,5.382112070619999,3.3451848400799995,5.10075126831,5.3432763238800005,4.0805091985500015,5.2619625352199995
2001,Poland,0.0,26.2,9636.5,30.0,10.2,122.3,232444,12.5,4055.7,18.4,5.3,23.2,7166838,6467104,13863682,5982132,3978741,789581,8.139,2.54377789841,0.753228801919,2.6707320129700003,4.30685296792,2.5860298202400003,1.87689055218,2.53640096799,3.899282768960001,2.31991250968,2.67938306158
